question,exact answer,snippets
What is the role of Thyrotropin Releasing Hormone in the treatment of comatose patients?,N/A,"Despite the correction of these metabolic disorders, the patient became comatose, and MRI, on T2 weighted image, showed hyperintense signals in the basal ganglia consistent with extra-pontine myelinolysis. The patient's state remained unchanged for six weeks. Since S. Konno and H. Wakui published cases of myelinolysis who dramatically improved after TRH treatment, the patient was given 0.6 mg i.v daily of TRH for six weeks. Improvement began within a few days, and continued until complete recovery. (http://www.ncbi.nlm.nih.gov/pubmed/9773038)
His CNS symptoms improved dramatically after administration of thyrotropin-releasing hormone tartrate (TRH-T). (http://www.ncbi.nlm.nih.gov/pubmed/8437381)
[Montirelin hydrate (NS-3), a TRH analog, improved the disturbance of consciousness caused by head concussion and pentobarbital in mice]. (http://www.ncbi.nlm.nih.gov/pubmed/8690305)
NS-3 shortened the latent periods to the recovery of the righting reflex (0.03-0.1 mg/kg, i.v.) and spontaneous motor activity (0.1 mg/kg, i.v.) following the head concussion. In the case of TRH, higher doses were needed to induce such effects. NS-3 (0.1-0.3 mg/kg, i.v.) reversed the pentobarbital-induced narcosis in a dose-dependent manner. A similar effect was elicited by 30- to 100-fold higher doses of TRH than NS-3. (http://www.ncbi.nlm.nih.gov/pubmed/8690305)
Taken together with the finding that NS-3 did not bind to dopamine, adrenaline or muscarine receptors, it is suggested that NS-3 may restore the disturbance of consciousness by activating the brain dopamine, noradrenaline and acetylcholine neurons without stimulating these receptors directly. (http://www.ncbi.nlm.nih.gov/pubmed/8690305)
A 46-year-old female motorcyclist, who suffered injuries to the brain stem in a traffic accident, showed hypotensive and bradycardiac responses to thyrotropin-releasing hormone (TRH) given to counter consciousness disturbance. (http://www.ncbi.nlm.nih.gov/pubmed/1394244)
The direct TRH (thyrotropin releasing hormone) stimulation to the anterior lobe was responded to well.  (http://www.ncbi.nlm.nih.gov/pubmed/1317658)
The neuropharmacological activities of TRH include an interesting arousal effect and an analeptic action on generalized depression of the CNS whether this depression is of natural origin, such as hibernation, or induced pharmacologically (barbiturates, ethanol) or of a traumatic origin (coma). This analeptic action is attributable to stimulation of cholinergic neurons in the septo-hippocampal area and to the presence of terminals containing TRH in the lateral septum and TRH receptors concentrated especially in the medial septum and diagonal band of Broca. It has also been suggested that TRH localized in the pineal gland has a part in activating the neuronal mechanisms of arousal. Associated with the arousal effect and especially evident in variously originated shock conditions are the activating effects of TRH on vegetative functions (body temperature, circulation, the gastrointestinal tract). These stimulatory activities on the CNS were the rationale for therapeutic use of TRH in the initial treatment of coma due to brain trauma and for the treatment of endogenous depression.  (http://www.ncbi.nlm.nih.gov/pubmed/2127684)
In the vegetative group, TRH caused significant increases in MBP (from 91 +/- 8 mm Hg to 110 +/- 10 mm Hg) at 2 min after the injection [p < 0.05, analysis of variance (ANOVA) with a Scheffé F-test]. In contrast, five of the seven BD patient showed no alterations in the measured parameter in response to the TRH injection. However, the remaining two BD patients, who had spinal reflexes, exhibited an elevation in MBP.  (http://www.ncbi.nlm.nih.gov/pubmed/8221703)
These results indicate that in comatose patients, the hemodynamic effects of TRH may differ depending on impairments in the central nervous system; the results support previous reports indicating a mediation of the central sympathetic nervous system in the development of pressor effects of TRH.  (http://www.ncbi.nlm.nih.gov/pubmed/8221703)"
Is Crohn's disease (CD) linked to the consumption of refrigerated food?,[yes],"Environmental risk factors playing a causative role in Crohn's Disease (CD) remain largely unknown. Recently, it has been suggested that refrigerated food could be involved in disease development. (http://www.ncbi.nlm.nih.gov/pubmed/19177167)
This study supports the opinion that CD is associated with exposure to domestic refrigeration, among other household factors, during childhood. (http://www.ncbi.nlm.nih.gov/pubmed/19177167)
Patients were exposed earlier than controls to the refrigerator (X2 = 9.9, df = 3, P = 0.04) and refrigerator exposure at birth was found to be a risk factor for CD (OR = 2.08 (95% CI: 1.01-4.29), P = 0.05). Comparable results were obtained looking for the exposure to freezer at home. (http://www.ncbi.nlm.nih.gov/pubmed/19177167)
A recent published hypothesis proposed that Crohn's disease was provoked by infantile exposure to micro-organisms that can survive refrigerator temperature. (http://www.ncbi.nlm.nih.gov/pubmed/16059694)
This support for the hypothesis reached statistical significance for those with Crohn's disease compared to the controls (p=0.045). (http://www.ncbi.nlm.nih.gov/pubmed/16059694)
Epidemiological data allow assessment of familial environmental risk factors related to western lifestyle, diet, bacteria, and domestic hygiene. (http://www.ncbi.nlm.nih.gov/pubmed/14683664)
All findings point to refrigeration as a potential risk factor for Crohn's disease. (http://www.ncbi.nlm.nih.gov/pubmed/14683664)
Furthermore, cold-chain development paralleled the outbreak of Crohn's disease during the 20th century.  (http://www.ncbi.nlm.nih.gov/pubmed/14683664)
Environmental risk factors playing a causative role in Crohn&apos;s Disease (CD) remain largely unknown. Recently, it has been suggested that refrigerated food could be involved in disease development. (http://www.ncbi.nlm.nih.gov/pubmed/19177167)
Our study suggests an association between the omission of breakfast and the failure to refrigerate food with GC in the Mexican population. (http://www.ncbi.nlm.nih.gov/pubmed/23444276)"
What is needed for MMP proteins to be functional?,[zinc],"matrix metalloproteinase (MMP)-9 (http://www.ncbi.nlm.nih.gov/pubmed/26013370)
matrix metalloproteinase-3 (MMP-3) gene  (http://www.ncbi.nlm.nih.gov/pubmed/26087627)
matrix metalloproteinases (MMPs) (http://www.ncbi.nlm.nih.gov/pubmed/24570026)
Matrix metalloproteinase-9 (MMP-9) is a secreted glycoprotein with a major role in shaping the extracellular matrix and a detailed understanding of the secretory mechanism could help identify methods to correct diseases resulting from dysregulation of secretion. (http://www.ncbi.nlm.nih.gov/pubmed/26150355)
Gelatinase B/matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) cleaves many substrates and is produced by most cell types as a zymogen (http://www.ncbi.nlm.nih.gov/pubmed/25360794)
Extracellular matrix metalloproteinases (MMPs) are a family of zinc-dependent neutral endopeptidases involved in physiological and pathological processes, through the cleavage of extracellular matrix. (http://www.ncbi.nlm.nih.gov/pubmed/22257051)
Extracellular matrix metalloproteinases (MMPs) are a family of endopeptydases which recquire a zinc ion at their active site, for proteolityc activity. (http://www.ncbi.nlm.nih.gov/pubmed/23001203)"
What are the skeletal muscle satellite cells?,N/A,"Skeletal muscle satellite cells (SCs) are Pax7(+) myogenic stem cells that reside between the basal lamina and the plasmalemma of the myofiber. In mature muscles, SCs are typically quiescent, but can be activated in response to muscle injury. Depending on the magnitude of tissue trauma, SCs may divide minimally to repair subtle damage within individual myofibers or produce a larger progeny pool that forms new myofibers in cases of overt muscle injury (http://www.ncbi.nlm.nih.gov/pubmed/26074812)
Satellite cells (SC) are quiescent adult muscle stem cells critical for postnatal development (http://www.ncbi.nlm.nih.gov/pubmed/25732238)
Satellite cells are multipotential stem cells that mediate postnatal muscle growth and respond differently to temperature based upon aerobic versus anaerobic fiber-type origin (http://www.ncbi.nlm.nih.gov/pubmed/26341996)
Skeletal muscle mass, function, and repair capacity all progressively decline with aging, restricting mobility, voluntary function, and quality of life. Skeletal muscle repair is facilitated by a population of dedicated muscle stem cells (MuSCs), also known as satellite cells, that reside in anatomically defined niches within muscle tissues. In adult tissues, MuSCs are retained in a quiescent state until they are primed to regenerate damaged muscle through cycles of self-renewal divisions (http://www.ncbi.nlm.nih.gov/pubmed/26248268)
Muscle satellite cells are a stem cell population required for postnatal skeletal muscle development and regeneration, accounting for 2-5% of sublaminal nuclei in muscle fibers. (http://www.ncbi.nlm.nih.gov/pubmed/24747722)
Skeletal muscle satellite cells are adult muscle-derived stem cells receiving increasing attention. (http://www.ncbi.nlm.nih.gov/pubmed/22233500)
Skeletal muscle satellite cells are quiescent mononucleated myogenic cells, located between the sarcolemma and basement membrane of terminally-differentiated muscle fibres. (http://www.ncbi.nlm.nih.gov/pubmed/12757751)
The acquisition of a proliferating-cell status from a quiescent state as well as the shift between proliferation and differentiation are key developmental steps in skeletal-muscle stem cells (satellite cells) to provide proper muscle regeneration (http://www.ncbi.nlm.nih.gov/pubmed/26055324)
Satellite cells are essential for skeletal muscle regeneration as they ultimately provide the myogenic precursors that rebuild damaged muscle tissue (http://www.ncbi.nlm.nih.gov/pubmed/24439806)
Skeletal muscle satellite cells are committed to myogenesis and do not spontaneously adopt nonmyogenic fates. (http://www.ncbi.nlm.nih.gov/pubmed/21339173)
These are normally quiescent in adult muscle, but act as a reserve population of cells, able to proliferate in response to injury and give rise to regenerated muscle and to more satellite cells. (http://www.ncbi.nlm.nih.gov/pubmed/12757751)
Satellite cell-derived muscle precursor cells may be used to repair and regenerate damaged or myopathic skeletal muscle, or to act as vectors for gene therapy. (http://www.ncbi.nlm.nih.gov/pubmed/12757751)
Research focusing on the canonical adult myogenic progenitor, the skeletal muscle satellite cell, is still an ever-growing field 46 years from their initial description. (http://www.ncbi.nlm.nih.gov/pubmed/17996437)
 Skeletal muscle satellite cells, located between the basal lamina and plasma membrane of myofibers, are required for skeletal muscle regeneration. The capacity of satellite cells as well as other cell lineages including mesoangioblasts, mesenchymal stem cells, and side population (SP) cells to contribute to muscle regeneration has complicated the identification of a satellite stem cell. (http://www.ncbi.nlm.nih.gov/pubmed/19265661)
 Muscle satellite cells are a stem cell population required for postnatal skeletal muscle development and regeneration, accounting for 2-5% of sublaminal nuclei in muscle fibers. In adult muscle, satellite cells are normally mitotically quiescent. (http://www.ncbi.nlm.nih.gov/pubmed/24747722)
 Skeletal muscle is a highly specialized tissue composed of non-dividing, multi-nucleated muscle fibres that contract to generate force in a controlled and directed manner. Skeletal muscle is formed during embryogenesis from a subset of muscle precursor cells, which generate both differentiated muscle fibres and specialized muscle-forming stem cells known as satellite cells. (http://www.ncbi.nlm.nih.gov/pubmed/21727135)
 Skeletal muscle satellite cells are adult muscle-derived stem cells receiving increasing attention. Sheep satellite cells have a greater similarity to human satellite cells with regard to metabolism, life span, proliferation and differentiation, than satellite cells of the rat and mouse. (http://www.ncbi.nlm.nih.gov/pubmed/22233500)
Skeletal muscle satellite cells play key roles in postnatal muscle growth and regeneration. (http://www.ncbi.nlm.nih.gov/pubmed/17600112)
Skeletal muscle satellite cells, located between the basal lamina and plasma membrane of myofibers, are required for skeletal muscle regeneration. (http://www.ncbi.nlm.nih.gov/pubmed/19265661)
Skeletal muscle is formed during embryogenesis from a subset of muscle precursor cells, which generate both differentiated muscle fibres and specialized muscle-forming stem cells known as satellite cells. (http://www.ncbi.nlm.nih.gov/pubmed/21727135)"
Which  is the execution time (complexity) of the Smith-Waterman algorithm for the alignment of two sequences,[quadratic],"The problem of finding an optimal structural alignment for a pair of superimposed proteins is often amenable to the Smith-Waterman dynamic programming algorithm, which runs in time proportional to the product of lengths of the sequences being aligned. (http://www.ncbi.nlm.nih.gov/pubmed/21714130)
While this result is not an asymptotic improvement over the original Smith-Waterman algorithm, its complexity is characterized in terms of some sparse features of the matrix and it yields the fastest software implementation to date for such searches. (http://www.ncbi.nlm.nih.gov/pubmed/12804086)
If we use N, M and C to represent the size of an amino acid sequence, the size of a structure template, and the maximum cut size of long-range interactions, respectively, the algorithm finds an optimal structure-sequence alignment in O(21C NM) time, a polynomial function of N and M when C = O(log(N + M)). When running on structure-sequence alignment problems without long-range intersections, i.e. C = 0, the algorithm achieves the same asymptotic computational complexity of the Smith-Waterman sequence-sequence alignment algorithm. (http://www.ncbi.nlm.nih.gov/pubmed/9021270)
The algorithm is based on fractional programming and its running time is O(n2log n). In practice, normalized local alignment is only 3-5 times slower than the standard Smith-Waterman algorithm. (http://www.ncbi.nlm.nih.gov/pubmed/11301301)"
Are adenylyl cyclases always transmembrane proteins?,[no],"ransmembrane adenylyl cyclase (http://www.ncbi.nlm.nih.gov/pubmed/25350397)
 Transmembrane adenylyl cyclase (tmAC) and soluble AC (sAC)  (http://www.ncbi.nlm.nih.gov/pubmed/25220136)
Soluble adenylyl cyclase (sAC) is a recently recognized source of the signaling molecule cyclic AMP (cAMP) that is genetically and biochemically distinct from the classic G-protein-regulated transmembrane adenylyl cyclases (tmACs). (http://www.ncbi.nlm.nih.gov/pubmed/24574382)
Soluble adenylyl cyclase  (http://www.ncbi.nlm.nih.gov/pubmed/25009261)
transmembrane adenylyl cyclases (tmACs), and soluble adenylyl cyclase (sAC).  (http://www.ncbi.nlm.nih.gov/pubmed/25009261)
 Here, we showed that both transmembrane AC (tmAC) and soluble AC (sAC) are distinctly involved in the regulation of sperm motility in the ascidian Ciona intestinalis.  (http://www.ncbi.nlm.nih.gov/pubmed/25073090)
cAMP production in beta cells is mediated not simply by transmembrane adenylyl cyclases (TMACs), but also by sAC. (http://www.ncbi.nlm.nih.gov/pubmed/24980705)
In contrast to tmAC, sAC produces cAMP in various intracellular microdomains close to specific cAMP targets, e.g., in nucleus and mitochondria (http://www.ncbi.nlm.nih.gov/pubmed/25010002)
soluble adenylyl cyclase (sAC, ADCY10), the ubiquitous, non-transmembrane adenylyl cyclase, was found to play a key role in neuronal survival and axon growth. (http://www.ncbi.nlm.nih.gov/pubmed/25064589)
Central role of soluble adenylyl cyclase (http://www.ncbi.nlm.nih.gov/pubmed/25066614)"
How does thyroid hormone regulate mitochondrial biogenesis in the myocardium?,N/A,"L-T3 significantly increased the expression of factors involved in mitochondrial DNA transcription and biogenesis, such as hypoxic inducible factor-1α, mitochondrial transcription factor A and peroxisome proliferator activated receptor γ coactivator-1α, in the LV peri-infarct zone (http://www.ncbi.nlm.nih.gov/pubmed/20100314)
the T(3)-induced phosphorylation of p38 and AMPK in both slow- and fast-twitch skeletal muscles suggests that these events may be important in mediating hormone-induced increases in mitochondrial biogenesis in skeletal muscle. (http://www.ncbi.nlm.nih.gov/pubmed/17962579)
Our findings indicate parallel increases in myocardial mitochondrial bioenergetic capacity, oxygen consumption and markers of mitochondrial biogenesis with 15-day T4 (http://www.ncbi.nlm.nih.gov/pubmed/15543939)
The marked, parallel increases in PPARalpha levels suggest its potential involvement in mediating myocardial-specific remodeling of mitochondria in response to T4 (http://www.ncbi.nlm.nih.gov/pubmed/15543939)
T3 mediates an early stimulation of enzymes containing mtDNA encoded subunits (e.g. complex IV and V) in contrast to a different regulatory pattern for the entirely nuclear-encoded enzymes (http://www.ncbi.nlm.nih.gov/pubmed/15893763)
Activity of respiratory complexes II, IV, V and citrate synthase (CS), levels of mitochondrial enzyme subunits (e.g. COXI, COXIV) and nuclear-encoded transcription factors, involved in mitochondrial biogenesis (e.g. PGC-1, mtTFA and PPAR-alpha), were significantly elevated with 72 h T3 treatment (http://www.ncbi.nlm.nih.gov/pubmed/15893763)
T(3) increased PGC-1alpha content similarly in both fast- and slow-twitch muscle, as well as in the liver, but not in heart. (http://www.ncbi.nlm.nih.gov/pubmed/12734114)
Thyroid hormone [3,5,3'-triiodo-l-thyronine (T(3))] induces phenotypic alterations in cardiac mitochondria, in part by influencing protein import and the expression of the import motor mitochondrial heat shock protein (mtHsp70). (http://www.ncbi.nlm.nih.gov/pubmed/12388124)
These findings indicate that import machinery components are differentially regulated in response to stimuli that induce mitochondrial biogenesis, like T(3) and differentiation. (http://www.ncbi.nlm.nih.gov/pubmed/12388124)
We have previously identified a mitochondrial triiodothyronine receptor (p43) regulating mitochondrial transcription and mitochondrial biogenesis. When overexpressed in skeletal muscle, it increases mitochondrial DNA content, stimulates mitochondrial respiration, (http://www.ncbi.nlm.nih.gov/pubmed/22109994)
Here we show that a p43 depletion in mice decreases mitochondrial DNA replication and respiratory chain activity in skeletal muscle (http://www.ncbi.nlm.nih.gov/pubmed/22109994)
The contribution of TFAM, TFB2M, and helicase Twinkle in thyroid-induced mtDNA biogenesis was assessed. The activation of TFAM and TFB2M expression is shown to be required for the induction of mtDNA biogenesis. The role of helicase Twinkle, the expression induction of which is also observed after triiodothyronine addition, remains unclear. The analysis of factors that activate TFAM and TFB2M expression showed that NRF-1 is the determinative regulator: (http://www.ncbi.nlm.nih.gov/pubmed/21568860)
in rat cerebellum show that hypothyroidism causes reduction in expression of nuclear encoded genes controlling mitochondrial biogenesis like PGC-1alpha, NRF-1alpha and Tfam (http://www.ncbi.nlm.nih.gov/pubmed/20515651)
These results thus indicate an integrated nuclear-mitochondrial cross talk in regulation of mitochondrial transcription by TH during brain development. (http://www.ncbi.nlm.nih.gov/pubmed/20515651)
T(3) acts to reduce cellular oxidative stress, which may help attenuate ROS-mediated damage, along with improving mitochondrial function and energy status in cells with mtDNA defects. (http://www.ncbi.nlm.nih.gov/pubmed/19036942)
These findings suggest the existence of compensatory mechanisms operating at the translational and/or post-translational levels which promote proliferation of mitochondria in the hypothyroid liver. However, when the liver mass was considered, hypothyroidism significantly reduced overall mitochondrial proliferation in rat liver. (http://www.ncbi.nlm.nih.gov/pubmed/7556180)
Total liver mitochondrial DNA levels in thyroid-treated animals were greater than age-paired controls by 79% at 7 days but only 67% at 14 days since a small gain occurred in control animals and no further increase occurred in treated rats during the second week. (http://www.ncbi.nlm.nih.gov/pubmed/6157679)
thyroid hormone treatment produces hyperplasia and an increase in mitochondrial number and mass in rat liver (http://www.ncbi.nlm.nih.gov/pubmed/6157679)
It is concluded that T3 exerts a direct, rather than permissive, effect on mitochondrial biogenesis, and that high affinity binding sites for GH are not present in rat liver mitochondria. (http://www.ncbi.nlm.nih.gov/pubmed/2773621)
These data strengthen the view that thyroid hormone regulates synthesis of specific components within each respiratory-chain complex and that these products apparently play key roles in inner-membrane biogenesis and assembly (http://www.ncbi.nlm.nih.gov/pubmed/1321044)
It is concluded that thyroid hormone causes an increase in the mitochondrial mass, mitochondrial cytochrome content, and respiratory rate, and consequently expands the capacity of oxidative metabolism without an uncoupling effect on oxidative phosphorylation. (http://www.ncbi.nlm.nih.gov/pubmed/215035)"
What is the mechanism of cementogenesis in pulp regeneration?,N/A,"New vital tissues can be regenerated in permanent canine teeth after pulpectomy and enlargement of the apical foramen (http://www.ncbi.nlm.nih.gov/pubmed/23146645)
The loss of dental pulp may weaken teeth, rendering them susceptible to reinfection, fracture, and subsequent tooth loss. Therefore, regeneration of pulp is considered an ideal treatment to preserve teeth. (http://www.ncbi.nlm.nih.gov/pubmed/23146645)
Constitutive stabilization of ß-catenin in the dental mesenchyme leads to excessive dentin and cementum formation (http://www.ncbi.nlm.nih.gov/pubmed/21854758)
Wnt/ß-catenin signaling plays an important role in morphogenesis and cellular differentiation during development. Essential roles of Wnt/ß-catenin signaling in tooth morphogenesis have been well known (http://www.ncbi.nlm.nih.gov/pubmed/21854758)
Our results indicate that persistent stabilization of ß-catenin in the dental mesenchyme leads to premature differentiation of odontoblasts and differentiation of cementoblasts, and induces excessive dentin and cementum formation in vivo. These results suggest that temporospatial regulation of Wnt/ß-catenin signaling plays critical roles in the differentiation of odontoblasts and cementoblasts, and that inhibition of Wnt/ß-catenin signaling may be important for the formation of dentin and cementum during tooth development (http://www.ncbi.nlm.nih.gov/pubmed/21854758)
Local modulation of Wnt/ß-catenin signaling has therapeutic potential to improve the regeneration of dentin and periodontium (http://www.ncbi.nlm.nih.gov/pubmed/21854758)
It is known that the dental follicle (DF) consists of progenitor cells that give rise to the cementum, periodontal ligament, and alveolar bone (http://www.ncbi.nlm.nih.gov/pubmed/21512722)
 but little information is available about the regulation of DF cell differentiation into either cementogenic or osteogenic cell lineages for the regeneration of diseased periodontal tissue. Here, we investigated the roles of DF, Hertwig's epithelial root sheath (HERS), and pulp cells in the cementum (http://www.ncbi.nlm.nih.gov/pubmed/21512722)
These results suggest that the combined use of DF, HERS, and pulp cells could direct DF cell differentiation into cementoblasts and/or osteoblasts in vivo, thus providing a novel strategy for the successful repair and regeneration of diseased periodontal tissue (http://www.ncbi.nlm.nih.gov/pubmed/21512722)
 HERS cells played a role in the induction and maturation of cementum-like tissues formed by DF cells (http://www.ncbi.nlm.nih.gov/pubmed/21512722)
 implants of DF cells in the presence of pulp cells led to the formation of bone-like tissues (http://www.ncbi.nlm.nih.gov/pubmed/21512722)
Interestingly, in the presence of both HERS and pulp cells, DF cells formed both cementum-like and bone-like tissues. We demonstrated that while HERS cells are able to induce DF cell differentiation into cementoblasts and promote cementum formation, pulp cells could direct DF cell differentiation into osteoblasts and enhance alveolar bone formation (http://www.ncbi.nlm.nih.gov/pubmed/21512722)
Periodontal ligament (PDL) and cementum complex and dentin pulp complex have been tissue engineered using human dental pulp stem cells and PDL stem cells (http://www.ncbi.nlm.nih.gov/pubmed/18636796)
Histological, immunohistochemical, and scanning electronic microscopy examinations results showed that bioengineered dentin could induce cementogenesis and PDL formation, and condense PDL arranged perpendicularly on the dentin surface via a layer of cementum-like tissue (http://www.ncbi.nlm.nih.gov/pubmed/18636796)"
Which are the subunits of the transcription factor NF-kappaB in the canonical pathway activation?,"[p65, RelA]
[p50, NF-κB1]","In this study, we demonstrated that the HSV-1 UL42 protein, a DNA polymerase processivity factor, was a novel antagonism of the canonical NF-κB signaling pathway. UL42 was shown to significantly suppress TNF-α mediated NF-κB activation. Co-immunoprecipitation experiment revealed that UL42 bound to the NF-κB subunits p65 and p50.  (http://www.ncbi.nlm.nih.gov/pubmed/23636254)
Thus, it was first time we demonstrated that HSV-1 UL42 appeared to prevent NF-κB-dependent gene expression by retaining p65 and p50 in the cytoplasm, and UL42-dependent transcriptional activation were inherently coupled to promote HSV-1 lytic replication, which also may contribute to immune evasion and pathogenesis of HSV-1. (http://www.ncbi.nlm.nih.gov/pubmed/23636254)
The review describes NF-κB and its two pathways: the canonical, mediated by the p65 and p50 subunits, and the non-canonical, mediated by the subunits RelB, p52 and p50.  (http://www.ncbi.nlm.nih.gov/pubmed/22726116)
The function of the TTV open reading frame (ORF) in the nuclear factor kappaB (NF-kappaB) pathway has not yet been established. In this study, we found for the first time that the TTV ORF2 protein could suppress NF-kappaB activity in a dose-dependent manner in the canonical NF-kappaB pathway. By Western blot analysis, we proved that the TTV ORF2 protein did not alter the level of NF-kappaB expression but prevented the p50 and p65 subunits from entering the nucleus due to the inhibition of IkappaBalpha protein degradation. (http://www.ncbi.nlm.nih.gov/pubmed/17686849)
Herpes simplex virus 1 DNA polymerase processivity factor UL42 inhibits TNF-α-induced NF-κB activation by interacting with p65/RelA and p50/NF-κB1. (http://www.ncbi.nlm.nih.gov/pubmed/23636254)"
Which are the genes thought to be regulated by EWS/FLI?,"[BCL11B]
[NRoB1]
[GSTM4]
[NKX2.2]
[p53]","BCL11B is up-regulated by EWS/FLI and contributes to the transformed phenotype in Ewing sarcoma (http://www.ncbi.nlm.nih.gov/pubmed/23527175)
EWS/FLI dysregulates gene expression during tumorigenesis by abnormally activating or repressing genes. The expression levels of thousands of genes are affected in Ewing sarcoma, however, it is unknown which of these genes contribute to the transformed phenotype. Here we characterize BCL11B as an up-regulated EWS/FLI target that is necessary for the maintenance of transformation in patient derived Ewing sarcoma cells lines (http://www.ncbi.nlm.nih.gov/pubmed/23527175)
BCL11B, a zinc finger transcription factor, acts as a transcriptional repressor in Ewing's sarcoma and contributes to the EWS/FLI repressed gene signature (http://www.ncbi.nlm.nih.gov/pubmed/23527175)
EWS/FLI functions as an aberrant transcription factor to regulate genes that mediate the oncogenic phenotype of Ewing's sarcoma. One of these regulated genes, NR0B1, encodes a corepressor protein, and likely plays a transcriptional role in tumorigenesis (http://www.ncbi.nlm.nih.gov/pubmed/19920188)
GSTM4 is a microsatellite-containing EWS/FLI target involved in Ewing's sarcoma oncogenesis and therapeutic resistance (http://www.ncbi.nlm.nih.gov/pubmed/19718047)
We recently showed that EWS/FLI regulates one of its key targets, NR0B1, through a GGAA-microsatellite in its promoter (http://www.ncbi.nlm.nih.gov/pubmed/19718047)
We found that EWS/FLI directly binds the GSTM4 promoter, and regulates GSTM4 expression through a GGAA-microsatellite in its promoter (http://www.ncbi.nlm.nih.gov/pubmed/19718047)
The gene that was most reproducibly up-regulated by EWS/FLI was NR0B1 (http://www.ncbi.nlm.nih.gov/pubmed/17114343)
We validated NR0B1 as an EWS/FLI-dysregulated gene and confirmed its expression in primary human tumor samples (http://www.ncbi.nlm.nih.gov/pubmed/17114343)
Expression profiling of EWS/FLI identifies NKX2.2 as a critical target gene in Ewing's sarcoma (http://www.ncbi.nlm.nih.gov/pubmed/16697960)
Functional analysis revealed that NKX2.2 is an EWS/FLI-regulated gene that is necessary for oncogenic transformation in this tumor (http://www.ncbi.nlm.nih.gov/pubmed/16697960)
Neuroblastoma-Ews/Fli-1 infectant cell lines showed marked increases in p53 protein expression without transcriptional up-regulation (http://www.ncbi.nlm.nih.gov/pubmed/15492248)
We then tested the p53 response pathway and observed that the neuroblastoma parent cells responded to genotoxic stress, whereas the neuroblastoma-Ews/Fli-1 infectants did not. These results suggest that Ews/Fli-1 can directly abrogate the p53 pathway to promote tumorigenesis (http://www.ncbi.nlm.nih.gov/pubmed/15492248)
We recently showed that EWS/FLI interacts with GGAA-microsatellites to regulate some of its target genes, including NR0B1, an EWS/FLI-regulated gene that is required for the oncogenic phenotype of Ewings sarcoma. (http://www.ncbi.nlm.nih.gov/pubmed/18927503)
BCL11B is up-regulated by EWS/FLI and contributes to the transformed phenotype in Ewing sarcoma. (http://www.ncbi.nlm.nih.gov/pubmed/23527175)
The gene that was most reproducibly up-regulated by EWS/FLI was NR0B1. (http://www.ncbi.nlm.nih.gov/pubmed/17114343)
Here we characterize BCL11B as an up-regulated EWS/FLI target that is necessary for the maintenance of transformation in patient derived Ewing sarcoma cells lines (http://www.ncbi.nlm.nih.gov/pubmed/23527175)"
Which are the enzymes involved in the addition of 7-methylguanosine in mRNA?,"[RNA polymerase II]
[RNA guanylyltransferase and 5'-phosphatase]
[RNA guanine-7 methyltransferase]","The cap analogues are incorporated by RNA polymerase into mRNA transcripts that are efficiently translated in vitro. (http://www.ncbi.nlm.nih.gov/pubmed/24273643)
In mammals, cap synthesis is catalysed by the sequential action of RNGTT (RNA guanylyltransferase and 5'-phosphatase) and RNMT (RNA guanine-7 methyltransferase), enzymes recruited to RNA pol II (polymerase II) during the early stages of transcription.  (http://www.ncbi.nlm.nih.gov/pubmed/24200467)
Synthesis of the methyl cap initiates with the addition of 7-methylguanosine to the initiating nucleotide of RNA pol II (polymerase II) transcripts, which occurs predominantly during transcription and in mammals is catalysed by RNGTT (RNA guanylyltransferase and 5' phosphatase) and RNMT (RNA guanine-7 methyltransferase). (http://www.ncbi.nlm.nih.gov/pubmed/23863084)"
List all articles on network meta-analysis for smoking cessation,"[Cardiovascular events associated with smoking cessation pharmacotherapies: a network meta-analysis.]
[Pharmacological interventions for smoking cessation: an overview and network meta-analysis]
[Effectiveness and cost-effectiveness of computer and other electronic aids for smoking cessation: a systematic review and network meta-analysis.]
[Smoking cessation interventions in COPD: a network meta-analysis of randomised trials.]","Cardiovascular events associated with smoking cessation pharmacotherapies: a network meta-analysis. (http://www.ncbi.nlm.nih.gov/pubmed/24323793)
Pharmacological interventions for smoking cessation: an overview and network meta-analysis. (http://www.ncbi.nlm.nih.gov/pubmed/23728690)
Effectiveness and cost-effectiveness of computer and other electronic aids for smoking cessation: a systematic review and network meta-analysis. (http://www.ncbi.nlm.nih.gov/pubmed/23046909)
network meta-analysis on interventions for smoking cessation including over 100 trials (http://www.ncbi.nlm.nih.gov/pubmed/22992327)
Smoking cessation interventions in COPD: a network meta-analysis of randomised trials. (http://www.ncbi.nlm.nih.gov/pubmed/19357145)"
